,name,stars_y,text
0,Hash House A Go Go,5,"Firstly, this restaurant is in The Linq Hotel, formerly The Quad. Expect a line. Waited only about 15 minutes to be seated, though. Greeted by Tony our waiter who was really warm, friendly, sincere, and knowledgeable. Ordered the Sage Fried Chicken and Waffles. Massive is an understatement! The only thing is that it came out kind of lukewarm. But the problem was rectified REALLY fast! Tony put in an order for fresh chicken. Then the manager Eric came and asked if everything was okay. He was a class act-very attentive, friendly, and responsive. I explained what happened. The next thing you know lickety split...new fresh hot plate hand delivered by Eric in 2 minutes! Problem solved! The chicken and waffles were really tasty! The sweet and savory is a great combo. My girlfriend and I shared the plate and STILL had leftovers!!  Late night munchies-problem solved!!
Thank you Eric and Tony for making our experience nothing short of wonderful!"
1,Hash House A Go Go,4,This place had monsterous proportions OMG! One plate could feed 4 people! It was a very unique menu! I had the chorizo hash YUM! Also try the peach Long Island yum! And you get to keep the crazy glass!
2,Hash House A Go Go,5,This place freaking rocks. Must go to when in Vegas. Get the Tractor Combo. The pancake is bigger than the large plate itself.
3,Hash House A Go Go,3,"Visited HHAGG ago go for the first time on 5/5/14. The reviews on Yelp were numerous, and everyone seemed to love this place. Although we didn't go at a typical busy dinner time (I believe it was around 4:30), it was still a 45 minute wait to get in. Claims of the huge portion sizes were not off base. We saw many huge plates filled with food go by as we were sitting there waiting to order. What was obvious early on were the trees growing out of each of the big plates food. These are apparently big sprigs of sage, so if you're not fond of sage, ask them to hold it.

I had the grilled portobello sandwich, substitute the goat cheese for cheddar. Watching all these big plates of food go by, I was anticipating a large portobello grilled mushroom cap with the toppings dripping off of it, but this is not what I got. It was a puny mushroom cap on a typical grocery store 8-pack type burger roll and they put the goat cheese on it anyway and didn't add the cheddar. The Waitress was very nice and offered to bring it back and make a new one, but we had already waited too long and my husband's food was ready to eat. He had a burger that was very good, but to be honest I don't remember what kind it was. My mushroom was dry and I had to add mayo to moisten it up (not something I would typically do), it was ok - nothing I would order again though."
4,Hash House A Go Go,3,Big portions. Sharing is highly recommended. Had the chicken and waffles. Wasn't really impressed.
5,Hash House A Go Go,5,The food was awesome! The service was great. We arrived late but they were still serving dinner. If you go you have to try the cornbread with bacon in it!! I would definitely recommend this place to others nd I will be back next time I'm in Vegas!
6,Hash House A Go Go,4,"Review for early dinner (5:30p) on a Saturday, 4 people.

Note: these are ginormous portions!

Food:
- small plate of crab cake (1 piece) and pasta: it was filling for me; portion is like a regular size entree (and I was hungry).
- chicken and waffles: it can feed 2 hungry people! Waffles stayed crisp.
- Apple pancake: size of the entire plate. Again this can be shared with 2 or 3 people. 
- burger: it was a double patty. Again, share-able for 2 people.
- watermelon, kiwi lemonade (I think that was the combo): refreshing, looks beautiful when they bring it out! You just have to stir it all together to have the full effect of the non-alcoholic drink. :)

Coming back?: for sure! Just have to share all the food! :)"
7,Hash House A Go Go,5,"I've been wanting to come here for such a long time now after a friend recommended this place to me. I finally had the oppourtiny this last weekend and I was very pleased. We went around 11:00am for a later breakfast and surprisingly only had a 15 minute wait. Our server was on top of it as she immediately took our drink order when were seated. I decided to go with their chorizo hash, after rave reviews on Yelp. It was a perfectly sized portion with so much flavor. Everyone else on my party enjoyed their meals. However, the highlight for me was their chocolate s'mores coffee, it was like dessert in a cup. Overall we really enjoyed their food and customer service, will definitely be back  during our next Vegas trip."
8,Hash House A Go Go,4,"I'm pretty enthused with this place: chicken and waffles, biscuits and gravy, passable coffeee.  Very delicious food in Las Vegas inside the Imperial Hotel.  This place is the closest to our room, and there was no wait at 9:30 a.m. on Memorial Day morning.  Pretty wonderful food; my wife loved the french toast.  

I tried a mocha smore drink the day before which looked pretty but tasted pretty toxic, so I can't go with five stars.  

Wonderful service, friendly staff, great people-watching!"
9,Hash House A Go Go,4,"Hands down the BEST BLT sandwich I've ever had!!!!! 

Came here late one night with a couple friends after a show. We were tired, hungry, and staying upstairs at the LINQ so we decided to stop by for a quick late night bite. When I first walked in, I kind of expected it to be like any other basic American-style food diner. Sort of like Denny's. However, I was pleasantly surprised by all of the atypical diner food options they offered! 

We all got the BBBLT (a take on the BLT but with extra bacon). It comes with a side of choice. My boyfriend and I shared the plate with a side of salad. The salad was alright- they didn't have many choices for dressings. The sandwich was HUGE and it did come with a nice serving size of bacon but I wouldn't call it 3x the amount of a usual BLT. The bacon was cooked incredibly well! Tasty and crunchy. 

I can't really say much else about the meal without being repetitive. But I wish we could've stopped by one last time before we checked out! 

The service was very good. The host was welcoming and sat us quickly. He also came by with our drinks and refills on water. The server was friendly and attentive. I don't have much else to say based off of just one experience. Just come by and try it for yourself!!"
10,Hash House A Go Go,4,Bumping to four stars.. the food is just too good and elevates this place to the next level. Cell service is still non-existent and the wifi situation has not improved either (this IS within the restaurant's control). Chicken Benedict really is one of the best things I've ever eaten.
11,Hash House A Go Go,4,My boyfriend and I had a great breakfast here. The vanilla waffles were super moist. It's noisy and loud but that's to be expected. It is Vegas after all.  You should definitely give this place a try--a great treat from the treacherous heat!
12,Hash House A Go Go,4,"Long wait..id actually say maybe go around 1ish-2ish..seems like that's when it starts to die down. Food was great! When we walked in and sat down we noticed the table next to us and their huge plates! Like huge!! So we decided to share 4 things for our party of 5. Of course we ordered the chicken and waffles and I swear I could've ate it all bymyself. It was really good with the bacon in the waffle!  Pancake was huge!! We got the one with snickers but wished we had tried the brown sugar banana one. The hash was fresh corn beef and the stuffed burgers were also good.

Service was also great! Like how all the workers there have like this cool rocker vibe."
13,Hash House A Go Go,5,Absolutely  worth  it.  The breakfast  was so large that I had to share it with the hubby.  We ordered a  side hash it was real cornbeef shredded  and moist.  Add some mustard and your good to go.
14,Hash House A Go Go,5,"I read a bunch of reviews before I came here and decided to go with the chicken and waffles. When I got to the restaurant, I saw all of the pictures of the celebs on the wall with their reviews about how great this dish was. BAM... that solidified my decision! The chicken was crispy and the best part was finding bacon pieces in my waffle. Anyone who knows me knows bacon is the way to my heart. My boyfriend had the chicken pot pie. It was the best looking dish on the table and soooo tasty! My best friend had the tuna melt, which we learned was not a sandwich, but more like a salad and let me tell you, it was soooo delicious! I will definitely be thinking of this place the next time I plan  trip to Vegas or San Diego."
15,Hash House A Go Go,4,"After deplaning and being hungry, my husband and I decided to make this our first stop since we were staying at the Harrah's next door.  We had heard of the famous chicken and bacon waffles here so we decided to get that and a house salad.  For the house salad, we were expecting a small itty bitty side salad, but this was big! it was definitely worth it and the croutons weren't croutons, it had the consistency of maybe a slightly hard piece of biscuit, but delicious!! the cucumber dressing was really good as well--- 

the chicken and waffles was massivE! as shown on many pictures posted, it did not disappoint. chicken was juicy and good and the bacon waffles were well cooked and just overall yummy.  

I am subtracting a star for service.  not very attentive and just kinda weird.  there was a 40 minute wait and when we were seated, the dining area we were in was half empty. sooooo, get more workers hash house!! i am looking forward to their reno location which is 2 hours from my home and i can get my fix more often!"
16,Hash House A Go Go,5,must go stop in las vegas if you are a foodie! no need to write a long review just go that's it!
17,Hash House A Go Go,5,"Never, ever Will I eat anywhere BUT the Has Has Go go in Vegas. Tucked inside the now trendy LINQ Hotel (which by the way has taken tremendous strides in renovation). This joint is indeed OPEN 24 hours 7 Days a week... Yes, You heard right. DO NOT OVER- ORDER. Bring an appetite, skip the appetizers because you will be more than accommodated with a deep fried FEAST of a meal.

  Try the Sage Chicken & Waffles dish & the Watermelon drink which can be ordered virgin... why pay for top shelf when you can head to the casino for $Free.99 drinks galore :) 

  Anywhoo, this place a gem! I took a pic with Martha Stewart, well, with Martha's picture hanging on the wall. Be prepared for a long wait, roughly about 45 minutes on a busy Sunday morning BUT It's worth it. I repeat, it's WORTH IT. Both of our meals, plus spiked Watermelon Drinks were barely 40 bucks. can't beat that in the Sin City"
18,Hash House A Go Go,5,"Tried this place again.

Fast & friendly service.

Chicken & waffles was bomb.  Fried leek  were really flavorful.

Had a side of sausage (very tasty and not very fatty).
Had the tractor's combo.  Pancakes were fluffy and huge.

Love this place.  Definitely a foodie must try."
19,Hash House A Go Go,5,HUGE PORTIONS!! You've been warned. Lol.  And they give you huge biscuits beforehand for free. We got 3 dishes for 5 people and didn't finish. Favorite was the blackened chicken with mashed pumpkin.  My mom's favorite was sage fried chicken and bacon waffles.  Dad liked it all. Lol.
20,Hash House A Go Go,5,"You can never go wrong here. The portions are gigantic. Hungover or not, it hits the spot. Make sure to try the Andy Sage fried chicken as you will crave this meal everyday from now on. I promise you"
